store_id,date,sales
store_1,2023-01-01,43.26
store_1,2023-01-02,54.76
store_1,2023-01-03,52.91
store_1,2023-01-04,65.48
store_1,2023-01-05,55.1
store_1,2023-01-06,44.38
store_1,2023-01-07,39.19
store_1,2023-01-08,40.51
store_1,2023-01-09,51.13
store_1,2023-01-10,62.34
store_1,2023-01-11,63.75
store_1,2023-01-12,58.73
store_1,2023-01-13,43.27
store_1,2023-01-14,38.46
store_1,2023-01-15,49.99
store_1,2023-01-16,56.28
store_1,2023-01-17,67.96
store_1,2023-01-18,67.2
store_1,2023-01-19,55.31
store_1,2023-01-20,53.79
store_1,2023-01-21,46.63
store_1,2023-01-22,47.55
store_1,2023-01-23,52.48
store_1,2023-01-24,63.0
store_1,2023-01-25,64.7
store_1,2023-01-26,62.63
store_1,2023-01-27,51.88
store_1,2023-01-28,51.07
store_1,2023-01-29,46.15
store_1,2023-01-30,57.93
store_1,2023-01-31,66.06
store_1,2023-02-01,64.12
store_1,2023-02-02,57.99
store_1,2023-02-03,56.12
store_1,2023-02-04,49.44
store_1,2023-02-05,49.56
store_1,2023-02-06,59.27
store_1,2023-02-07,64.11
store_1,2023-02-08,69.0
store_1,2023-02-09,61.29
store_1,2023-02-10,55.22
store_1,2023-02-11,52.42
store_1,2023-02-12,50.6
store_1,2023-02-13,62.21
store_1,2023-02-14,64.6
store_1,2023-02-15,69.0
store_1,2023-02-16,60.58
store_1,2023-02-17,55.92
store_1,2023-02-18,51.27
store_1,2023-02-19,52.6
store_1,2023-02-20,60.43
store_1,2023-02-21,73.3
store_1,2023-02-22,75.71
store_1,2023-02-23,62.6
store_1,2023-02-24,61.32
store_1,2023-02-25,47.44
store_1,2023-02-26,52.56
store_1,2023-02-27,62.29
store_1,2023-02-28,71.19
store_1,2023-03-01,69.87
store_1,2023-03-02,65.65
store_1,2023-03-03,59.6
store_1,2023-03-04,52.1
store_1,2023-03-05,54.42
store_1,2023-03-06,66.38
store_1,2023-03-07,75.22
store_1,2023-03-08,74.4
store_1,2023-03-09,69.45
store_1,2023-03-10,60.88
store_1,2023-03-11,54.39
store_1,2023-03-12,56.38
store_1,2023-03-13,62.84
store_1,2023-03-14,75.94
store_1,2023-03-15,75.9
store_1,2023-03-16,70.56
store_1,2023-03-17,63.12
store_1,2023-03-18,58.92
store_1,2023-03-19,63.75
store_1,2023-03-20,66.71
store_1,2023-03-21,74.37
store_1,2023-03-22,78.33
store_1,2023-03-23,70.0
store_1,2023-03-24,67.91
store_1,2023-03-25,61.68
store_1,2023-03-26,63.14
store_1,2023-03-27,68.74
store_1,2023-03-28,79.36
store_1,2023-03-29,82.45
store_1,2023-03-30,75.61
store_1,2023-03-31,64.82
store_2,2023-01-01,137.13
store_2,2023-01-02,153.07
store_2,2023-01-03,157.21
store_2,2023-01-04,157.89
store_2,2023-01-05,157.91
store_2,2023-01-06,147.8
store_2,2023-01-07,137.34
store_2,2023-01-08,143.46
store_2,2023-01-09,150.99
store_2,2023-01-10,162.82
store_2,2023-01-11,156.31
store_2,2023-01-12,155.65
store_2,2023-01-13,147.94
store_2,2023-01-14,147.43
store_2,2023-01-15,142.08
store_2,2023-01-16,144.55
store_2,2023-01-17,157.26
store_2,2023-01-18,164.36
store_2,2023-01-19,160.81
store_2,2023-01-20,155.13
store_2,2023-01-21,145.95
store_2,2023-01-22,144.49
store_2,2023-01-23,157.6
store_2,2023-01-24,162.95
store_2,2023-01-25,164.54
store_2,2023-01-26,160.01
store_2,2023-01-27,155.33
store_2,2023-01-28,143.61
store_2,2023-01-29,145.4
store_2,2023-01-30,156.32
store_2,2023-01-31,164.36
store_2,2023-02-01,164.27
store_2,2023-02-02,158.89
store_2,2023-02-03,154.21
